Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
42,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473283800,,,,,,,688.9,,,,5.9,,7,,,,,,,,,,,,12.2,,,40.43743056,-79.86357222
43,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473287400,,,,,,,696.9,,,,4.6,,13,,,,,,,,,,,,10.9,,,40.43743056,-79.86357222
44,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473291000,,,,,,,663.2,,,,3.3,,13,,,,,,,,,,,,16.1,,,40.43743056,-79.86357222
45,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473294600,,,,,,,272.6,,,,0.3,,14,,,,,,,,,,,,10.5,,,40.43743056,-79.86357222
46,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473298200,,,,,,,213.4,,,,0.3,,14,,,,,,,,,,,,8.3,,,40.43743056,-79.86357222
47,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473301800,,,,,,,283.4,,,,0.8,,17,,,,,,,,,,,,10.7,,,40.43743056,-79.86357222
48,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473305400,,,,,,,396.9,,,,1.1,,13,,,,,,,,,,,,9.9,,,40.43743056,-79.86357222
49,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473309000,,,,,,,314.3,,,,2.1,,11,,,,,,,,,,,,9.1,,,40.43743056,-79.86357222
50,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473312600,,,,,,,266.2,,,,1.2,,9,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222
51,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473316200,,,,,,,,,,,0.5,,12,,,,,,,,,,,,7.3,,,40.43743056,-79.86357222
