,Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude,Time
10,10,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473168600,,,,,,,1565.2,,,,17.3,,56,,,,,,,,,,,,20.6,,,40.43743056,-79.86357222,9/6/16 09:30
11,11,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473172200,,,,,,,712.7,,,,10.2,,37,,,,,,,,,,,,18.3,,,40.43743056,-79.86357222,9/6/16 10:30
12,12,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473175800,,,,,,,,,,,12.1,,18,,,,,,,,,,,,19.1,,,40.43743056,-79.86357222,9/6/16 11:30
13,13,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473179400,,,,,,,,,,,,,14,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/6/16 12:30
14,14,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473183000,,,,,,,592.7,,,,,,13,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/6/16 13:30
15,15,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473186600,,,,,,,745.8,,,,8.6,,11,,,,,,,,,,,,14.1,,,40.43743056,-79.86357222,9/6/16 14:30
16,16,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473190200,,,,,,,1109.8,,,,12.7,,13,,,,,,,,,,,,19.7,,,40.43743056,-79.86357222,9/6/16 15:30
17,17,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473193800,,,,,,,911.1,,,,6.6,,10,,,,,,,,,,,,13,,,40.43743056,-79.86357222,9/6/16 16:30
18,18,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473197400,,,,,,,919.6,,,,6.2,,21,,,,,,,,,,,,11.7,,,40.43743056,-79.86357222,9/6/16 17:30
19,19,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473201000,,,,,,,922.6,,,,6.8,,19,,,,,,,,,,,,13.2,,,40.43743056,-79.86357222,9/6/16 18:30
20,20,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473204600,,,,,,,1163.1,,,,6.2,,15,,,,,,,,,,,,16.2,,,40.43743056,-79.86357222,9/6/16 19:30
21,21,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473208200,,,,,,,1048.1,,,,4.8,,19,,,,,,,,,,,,21.6,,,40.43743056,-79.86357222,9/6/16 20:30
22,22,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473211800,,,,,,,978.4,,,,10.1,,21,,,,,,,,,,,,25.6,,,40.43743056,-79.86357222,9/6/16 21:30
23,23,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473215400,,,,,,,1172.2,,,,11.1,,15,,,,,,,,,,,,27.2,,,40.43743056,-79.86357222,9/6/16 22:30
24,24,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473219000,,,,,,,1399.2,,,,14.4,,15,,,,,,,,,,,,30.2,,,40.43743056,-79.86357222,9/6/16 23:30
25,25,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473222600,,,,,,,780,,,,4.3,,16,,,,,,,,,,,,23.8,,,40.43743056,-79.86357222,9/7/16 00:30
26,26,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473226200,,,,,,,860.6,,,,2.8,,12,,,,,,,,,,,,19,,,40.43743056,-79.86357222,9/7/16 01:30
27,27,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473229800,,,,,,,,,,,3.5,,21,,,,,,,,,,,,23.6,,,40.43743056,-79.86357222,9/7/16 02:30
28,28,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473233400,,,,,,,873.9,,,,,,24,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/7/16 03:30
29,29,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473237000,,,,,,,575.2,,,,6.7,,19,,,,,,,,,,,,20.1,,,40.43743056,-79.86357222,9/7/16 04:30
30,30,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473240600,,,,,,,590.1,,,,12.3,,15,,,,,,,,,,,,21.3,,,40.43743056,-79.86357222,9/7/16 05:30
31,31,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473244200,,,,,,,892.6,,,,23.9,,16,,,,,,,,,,,,24.7,,,40.43743056,-79.86357222,9/7/16 06:30
32,32,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473247800,,,,,,,1320.3,,,,27.3,,16,,,,,,,,,,,,24.1,,,40.43743056,-79.86357222,9/7/16 07:30
33,33,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473251400,,,,,,,1058.9,,,,25.9,,15,,,,,,,,,,,,26.4,,,40.43743056,-79.86357222,9/7/16 08:30
34,34,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473255000,,,,,,,658.7,,,,16.5,,13,,,,,,,,,,,,19.9,,,40.43743056,-79.86357222,9/7/16 09:30
35,35,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473258600,,,,,,,675.1,,,,19.1,,16,,,,,,,,,,,,19.8,,,40.43743056,-79.86357222,9/7/16 10:30
36,36,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473262200,,,,,,,684.8,,,,11.8,,18,,,,,,,,,,,,14.2,,,40.43743056,-79.86357222,9/7/16 11:30
37,37,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473265800,,,,,,,617.5,,,,7.9,,15,,,,,,,,,,,,13.2,,,40.43743056,-79.86357222,9/7/16 12:30
38,38,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473269400,,,,,,,542.6,,,,9.7,,13,,,,,,,,,,,,12.6,,,40.43743056,-79.86357222,9/7/16 13:30
39,39,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473273000,,,,,,,608.5,,,,6.3,,8,,,,,,,,,,,,10.9,,,40.43743056,-79.86357222,9/7/16 14:30
40,40,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473276600,,,,,,,741.6,,,,6.8,,5,,,,,,,,,,,,8.9,,,40.43743056,-79.86357222,9/7/16 15:30
41,41,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473280200,,,,,,,348.7,,,,2,,10,,,,,,,,,,,,5.8,,,40.43743056,-79.86357222,9/7/16 16:30
42,42,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473283800,,,,,,,688.9,,,,5.9,,7,,,,,,,,,,,,12.2,,,40.43743056,-79.86357222,9/7/16 17:30
43,43,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473287400,,,,,,,696.9,,,,4.6,,13,,,,,,,,,,,,10.9,,,40.43743056,-79.86357222,9/7/16 18:30
44,44,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473291000,,,,,,,663.2,,,,3.3,,13,,,,,,,,,,,,16.1,,,40.43743056,-79.86357222,9/7/16 19:30
45,45,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473294600,,,,,,,272.6,,,,0.3,,14,,,,,,,,,,,,10.5,,,40.43743056,-79.86357222,9/7/16 20:30
46,46,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473298200,,,,,,,213.4,,,,0.3,,14,,,,,,,,,,,,8.3,,,40.43743056,-79.86357222,9/7/16 21:30
47,47,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473301800,,,,,,,283.4,,,,0.8,,17,,,,,,,,,,,,10.7,,,40.43743056,-79.86357222,9/7/16 22:30
48,48,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473305400,,,,,,,396.9,,,,1.1,,13,,,,,,,,,,,,9.9,,,40.43743056,-79.86357222,9/7/16 23:30
49,49,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473309000,,,,,,,314.3,,,,2.1,,11,,,,,,,,,,,,9.1,,,40.43743056,-79.86357222,9/8/16 00:30
50,50,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473312600,,,,,,,266.2,,,,1.2,,9,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222,9/8/16 01:30
51,51,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473316200,,,,,,,,,,,0.5,,12,,,,,,,,,,,,7.3,,,40.43743056,-79.86357222,9/8/16 02:30
52,52,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473319800,,,,,,,175.3,,,,,,16,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/8/16 03:30
53,53,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473323400,,,,,,,168.6,,,,0.5,,12,,,,,,,,,,,,7,,,40.43743056,-79.86357222,9/8/16 04:30
54,54,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473327000,,,,,,,196.2,,,,0.5,,12,,,,,,,,,,,,6.3,,,40.43743056,-79.86357222,9/8/16 05:30
55,55,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473330600,,,,,,,232.1,,,,0.6,,14,,,,,,,,,,,,8.4,,,40.43743056,-79.86357222,9/8/16 06:30
56,56,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473334200,,,,,,,196.6,,,,0.7,,14,,,,,,,,,,,,10.1,,,40.43743056,-79.86357222,9/8/16 07:30
57,57,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473337800,,,,,,,238,,,,1.9,,15,,,,,,,,,,,,9.7,,,40.43743056,-79.86357222,9/8/16 08:30
58,58,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473341400,,,,,,,270.7,,,,2.7,,15,,,,,,,,,,,,10,,,40.43743056,-79.86357222,9/8/16 09:30
59,59,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473345000,,,,,,,393.9,,,,5.1,,13,,,,,,,,,,,,13.9,,,40.43743056,-79.86357222,9/8/16 10:30
60,60,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473348600,,,,,,,364.3,,,,2.7,,13,,,,,,,,,,,,7.6,,,40.43743056,-79.86357222,9/8/16 11:30
61,61,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473352200,,,,,,,381.8,,,,1.6,,12,,,,,,,,,,,,6,,,40.43743056,-79.86357222,9/8/16 12:30
62,62,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473355800,,,,,,,310.5,,,,2,,11,,,,,,,,,,,,6.7,,,40.43743056,-79.86357222,9/8/16 13:30
63,63,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473359400,,,,,,,241,,,,0.9,,12,,,,,,,,,,,,4.6,,,40.43743056,-79.86357222,9/8/16 14:30
64,64,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473363000,,,,,,,239.7,,,,0.7,,11,,,,,,,,,,,,4,,,40.43743056,-79.86357222,9/8/16 15:30
65,65,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473366600,,,,,,,241.3,,,,0.8,,19,,,,,,,,,,,,3.6,,,40.43743056,-79.86357222,9/8/16 16:30
66,66,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473370200,,,,,,,226.2,,,,0.4,,14,,,,,,,,,,,,3.8,,,40.43743056,-79.86357222,9/8/16 17:30
67,67,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473373800,,,,,,,179.8,,,,0.2,,13,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222,9/8/16 18:30
68,68,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473377400,,,,,,,190,,,,0.1,,16,,,,,,,,,,,,3.5,,,40.43743056,-79.86357222,9/8/16 19:30
69,69,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473381000,,,,,,,175,,,,0,,11,,,,,,,,,,,,3.8,,,40.43743056,-79.86357222,9/8/16 20:30
70,70,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473384600,,,,,,,226.3,,,,0.5,,13,,,,,,,,,,,,4.5,,,40.43743056,-79.86357222,9/8/16 21:30
71,71,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473388200,,,,,,,432.7,,,,2.7,,10,,,,,,,,,,,,7.8,,,40.43743056,-79.86357222,9/8/16 22:30
72,72,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473391800,,,,,,,382.1,,,,2.5,,11,,,,,,,,,,,,5.8,,,40.43743056,-79.86357222,9/8/16 23:30
73,73,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473395400,,,,,,,293.1,,,,3.2,,8,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222,9/9/16 00:30
74,74,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473399000,,,,,,,242.7,,,,1.7,,8,,,,,,,,,,,,6,,,40.43743056,-79.86357222,9/9/16 01:30
75,75,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473402600,,,,,,,,,,,0.6,,7,,,,,,,,,,,,5.1,,,40.43743056,-79.86357222,9/9/16 02:30
76,76,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473406200,,,,,,,155.3,,,,,,3,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/9/16 03:30
77,77,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473409800,,,,,,,215.6,,,,3.4,,2,,,,,,,,,,,,9.6,,,40.43743056,-79.86357222,9/9/16 04:30
78,78,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473413400,,,,,,,446.4,,,,7.6,,3,,,,,,,,,,,,12.7,,,40.43743056,-79.86357222,9/9/16 05:30
79,79,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473417000,,,,,,,512.5,,,,7.6,,7,,,,,,,,,,,,16.5,,,40.43743056,-79.86357222,9/9/16 06:30
80,80,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473420600,,,,,,,636.8,,,,8.6,,8,,,,,,,,,,,,15.1,,,40.43743056,-79.86357222,9/9/16 07:30
81,81,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473424200,,,,,,,663.4,,,,14.5,,6,,,,,,,,,,,,14.9,,,40.43743056,-79.86357222,9/9/16 08:30
82,82,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473427800,,,,,,,717.5,,,,15.4,,4,,,,,,,,,,,,16.2,,,40.43743056,-79.86357222,9/9/16 09:30
83,83,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473431400,,,,,,,485.8,,,,14.2,,2,,,,,,,,,,,,13.4,,,40.43743056,-79.86357222,9/9/16 10:30
84,84,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473435000,,,,,,,805.2,,,,22,,8,,,,,,,,,,,,15.3,,,40.43743056,-79.86357222,9/9/16 11:30
85,85,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473438600,,,,,,,817.8,,,,12.5,,7,,,,,,,,,,,,11.9,,,40.43743056,-79.86357222,9/9/16 12:30
86,86,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473442200,,,,,,,246.7,,,,2.4,,9,,,,,,,,,,,,6.4,,,40.43743056,-79.86357222,9/9/16 13:30
87,87,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473445800,,,,,,,438.7,,,,3.8,,8,,,,,,,,,,,,7.5,,,40.43743056,-79.86357222,9/9/16 14:30
88,88,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473449400,,,,,,,998.4,,,,17.2,,23,,,,,,,,,,,,16.3,,,40.43743056,-79.86357222,9/9/16 15:30
89,89,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473453000,,,,,,,1091.5,,,,14.1,,13,,,,,,,,,,,,14.1,,,40.43743056,-79.86357222,9/9/16 16:30
90,90,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473456600,,,,,,,267.3,,,,0.8,,,,,,,,,,,,,,5,,,40.43743056,-79.86357222,9/9/16 17:30
91,91,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473460200,,,,,,,189.9,,,,0.4,,,,,,,,,,,,,,5.1,,,40.43743056,-79.86357222,9/9/16 18:30
92,92,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473463800,,,,,,,325.3,,,,1.2,,5,,,,,,,,,,,,8.6,,,40.43743056,-79.86357222,9/9/16 19:30
93,93,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473467400,,,,,,,232,,,,0.6,,9,,,,,,,,,,,,7,,,40.43743056,-79.86357222,9/9/16 20:30
94,94,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473471000,,,,,,,379.9,,,,0.3,,10,,,,,,,,,,,,7.5,,,40.43743056,-79.86357222,9/9/16 21:30
95,95,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473474600,,,,,,,431.3,,,,0.3,,13,,,,,,,,,,,,10.1,,,40.43743056,-79.86357222,9/9/16 22:30
96,96,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473478200,,,,,,,752.3,,,,0.3,,13,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222,9/9/16 23:30
97,97,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473481800,,,,,,,246.1,,,,0.3,,8,,,,,,,,,,,,6.2,,,40.43743056,-79.86357222,9/10/16 00:30
98,98,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473485400,,,,,,,183.3,,,,0.6,,11,,,,,,,,,,,,7.4,,,40.43743056,-79.86357222,9/10/16 01:30
99,99,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473489000,,,,,,,,,,,0.2,,6,,,,,,,,,,,,5.5,,,40.43743056,-79.86357222,9/10/16 02:30
100,100,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473492600,,,,,,,147.1,,,,,,12,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/10/16 03:30
101,101,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473496200,,,,,,,375.6,,,,,,11,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/10/16 04:30
102,102,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473499800,,,,,,,215.1,,,,0.2,,17,,,,,,,,,,,,8,,,40.43743056,-79.86357222,9/10/16 05:30
103,103,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473503400,,,,,,,412.7,,,,0.7,,14,,,,,,,,,,,,9.5,,,40.43743056,-79.86357222,9/10/16 06:30
104,104,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473507000,,,,,,,365.2,,,,1,,11,,,,,,,,,,,,7.3,,,40.43743056,-79.86357222,9/10/16 07:30
105,105,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473510600,,,,,,,577.6,,,,2.1,,15,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222,9/10/16 08:30
106,106,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473514200,,,,,,,455.5,,,,2.8,,12,,,,,,,,,,,,7.6,,,40.43743056,-79.86357222,9/10/16 09:30
107,107,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473517800,,,,,,,190.5,,,,0.8,,7,,,,,,,,,,,,3.9,,,40.43743056,-79.86357222,9/10/16 10:30
108,108,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473521400,,,,,,,227.1,,,,0.6,,12,,,,,,,,,,,,3.5,,,40.43743056,-79.86357222,9/10/16 11:30
109,109,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473525000,,,,,,,243.9,,,,0.8,,11,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222,9/10/16 12:30
110,110,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473528600,,,,,,,243.7,,,,0.6,,7,,,,,,,,,,,,3.3,,,40.43743056,-79.86357222,9/10/16 13:30
111,111,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473532200,,,,,,,204.1,,,,0.4,,12,,,,,,,,,,,,3,,,40.43743056,-79.86357222,9/10/16 14:30
112,112,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473535800,,,,,,,236.5,,,,0.5,,11,,,,,,,,,,,,3.1,,,40.43743056,-79.86357222,9/10/16 15:30
113,113,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473539400,,,,,,,174.6,,,,0.2,,10,,,,,,,,,,,,2.2,,,40.43743056,-79.86357222,9/10/16 16:30
114,114,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473543000,,,,,,,157.5,,,,0.2,,9,,,,,,,,,,,,2.5,,,40.43743056,-79.86357222,9/10/16 17:30
115,115,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473546600,,,,,,,164.1,,,,0.1,,11,,,,,,,,,,,,2.9,,,40.43743056,-79.86357222,9/10/16 18:30
116,116,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473550200,,,,,,,168.6,,,,0,,17,,,,,,,,,,,,3.7,,,40.43743056,-79.86357222,9/10/16 19:30
117,117,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473553800,,,,,,,179.1,,,,0,,16,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222,9/10/16 20:30
118,118,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473557400,,,,,,,265.7,,,,1.4,,11,,,,,,,,,,,,3.1,,,40.43743056,-79.86357222,9/10/16 21:30
119,119,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473561000,,,,,,,390.5,,,,2.9,,2,,,,,,,,,,,,5.3,,,40.43743056,-79.86357222,9/10/16 22:30
120,120,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473564600,,,,,,,405.8,,,,3.4,,0,,,,,,,,,,,,5.5,,,40.43743056,-79.86357222,9/10/16 23:30
121,121,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473568200,,,,,,,278,,,,1.4,,4,,,,,,,,,,,,3.9,,,40.43743056,-79.86357222,9/11/16 00:30
122,122,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473571800,,,,,,,148.5,,,,0.8,,3,,,,,,,,,,,,2.6,,,40.43743056,-79.86357222,9/11/16 01:30
123,123,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473575400,,,,,,,,,,,0.8,,1,,,,,,,,,,,,2.7,,,40.43743056,-79.86357222,9/11/16 02:30
124,124,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473579000,,,,,,,183.1,,,,,,4,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/11/16 03:30
125,125,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473582600,,,,,,,143.3,,,,,,3,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/11/16 04:30
126,126,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473586200,,,,,,,181.6,,,,0.8,,5,,,,,,,,,,,,2.5,,,40.43743056,-79.86357222,9/11/16 05:30
127,127,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473589800,,,,,,,263.5,,,,3.6,,4,,,,,,,,,,,,5.3,,,40.43743056,-79.86357222,9/11/16 06:30
128,128,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473593400,,,,,,,382.3,,,,3.5,,3,,,,,,,,,,,,4.6,,,40.43743056,-79.86357222,9/11/16 07:30
